Pattern A,Pattern B,Similarity Score
Types of Types,Dimension Display Labels,0.7606914893034312
Types of Types,Measurements of Dimensions,0.6889193384711007
Types of Types,Colors,0.7762446910698794
Types of Types,Shapes,0.6817882526761173
Types of Types,Materials,0.6421321723522442
Types of Types,Materials Statement,0.6087769721176826
Types of Types,Environmental conditions,0.7373393219526869
Types of Types,Parts,0.7268853810023577
Types of Types,Sides of an Object,0.8074360332498772
Types of Types,Description,0.6690739428366239
Types of Types,Depiction,0.0
Types of Types,Subject,0.7993687212242407
Types of Types,Style Classification,0.7728968297133733
Types of Types,Other Classifications,0.5946132584341854
Types of Types,Objects Carrying Textual Works,0.5779927525347341
Types of Types,"Single Object, Multiple Works",0.3252216986178215
Types of Types,"Single Object, Single Textual and Visual Work",0.854814763694597
Types of Types,Related Objects,0.8458233129070624
Types of Types,Ownership,0.783756967505105
Types of Types,Custody,0.7969385127514368
Types of Types,Location,0.7793832700332847
Types of Types,Credit / Attribution Statement,0.7180499809137872
Types of Types,Rights Statement,0.7450013845027696
Types of Types,RightsStatements.org Assertions,0.0
Types of Types,Digital Objects,0.3291535828743592
Types of Types,Digital Images,0.6521781207833904
Types of Types,Digital Surrogates,0.6916610268569049
Types of Types,Home Page,0.659955443728346
Types of Types,Other Pages,0.5301160851772985
Types of Types,IIIF Images,0.49551846875711253
Types of Types,IIIF Manifests,0.4456250586522132
Types of Types,Core Information,0.16325408604751793
Types of Types,Geospatial Location,0.19272423499031266
Types of Types,Geospatial Approximation,0.34695841838489366
Types of Types,"Buildings and ""Immovable"" Objects",0.5061471874108747
Types of Types,Types,0.4216489273156942
Types of Types,Names,0.4064899381397115
Types of Types,Parts of Names,0.0
Types of Types,Identity,0.23273321427020516
Types of Types,Equivalent Resources,0.4598995979025089
Types of Types,Addresses,0.0
Types of Types,Birth and Death / Formation and Dissolution,0.3342222611462884
Types of Types,Active Dates,0.40901012451547125
Types of Types,Biography,0.519182798521578
Types of Types,Nationality,0.5231795630016416
Types of Types,Ethnicity,0.37803884209614386
Types of Types,Gender,0.4998691371651864
Types of Types,Digital Integration,0.44580468786214567
Types of Types,Organization Membership,0.5070946014302407
Types of Types,Provenance Event,0.49327992661173214
Types of Types,Classifications,0.6527113800682992
Types of Types,Relative Times,0.6251239578681294
Types of Types,"Object Acquisition
",0.6253290091562819
Types of Types,"Multiple Owners
",0.7150704951575858
Types of Types,Agents,0.48430819941316217
Types of Types,Exchange of Objects,0.4902284723501345
Types of Types,Payments,0.0
Types of Types,"Payment for Services
",0.724207499261435
Types of Types,Loans,0.6139710377268117
Types of Types,"Institutional Ownership, Departmental Custody",0.709576088477013
Types of Types,Loss,0.6582248295133925
Types of Types,Theft,0.5392358822686181
Types of Types,Sale of Stolen or Looted Objects,0.4657989562811301
Types of Types,Rights and their Acquisition,0.43899676923760417
Types of Types,Multiple Owners with Different Stakes,0.6956560766537555
Types of Types,Transfer of Shares,0.5439827281731948
Types of Types,Intellectual Property Rights,0.5931420439329914
Types of Types,Encounters,0.0
Types of Types,Promised Gift,0.3130929391587766
Types of Types,Commissions for Artwork,0.36650505880381984
Types of Types,Auction,0.45328690476399214
Types of Types,Auction of Lot,0.46418659288391545
Types of Types,Known Bid Amounts,0.478060646246762
Types of Types,Set of Objects,0.39607759880485327
Types of Types,Pre-set Prices,0.47531654458468725
Types of Types,Purchase of Lot,0.5031397699739854
Types of Types,Lot Withdrawn,0.6642479645366385
Types of Types,Object Withdrawn from Lot,0.7587284241097638
Types of Types,Reserve Not Met,0.5839631350776071
Types of Types,Bought by Owner,0.7331413251162114
Types of Types,"Winner Unable to Pay
",0.6837935788472547
Types of Types,Auction Catalog,0.6256106848248437
Types of Types,Moving an Object,0.48919054477451757
Types of Types,Taking Inventory,0.5131323621706864
Types of Types,Object Ownership and Existence,0.3040856404603699
Types of Types,Core Features,0.8354575860681651
Types of Types,Collections of Objects,0.6898295855721767
Types of Types,Departmental Collections,0.6836958042471043
Types of Types,Other Uses,0.4943396389476048
Types of Types,Collection Specific Information,0.3940165544097097
Types of Types,Adding and Removing Resources,0.4641534646565808
Types of Types,Exhibition Concept,0.44045805547887656
Types of Types,Exhibition Activity,0.5548689359527158
Types of Types,Multiple Venues,0.44535046205997225
Types of Types,Objects,0.8187899957781241
Types of Types,Exhibition Provenance: Transfer of Custody,0.44397900337574714
Types of Types,Exhibition Provenance: Internal Moves,0.538629484234554
Types of Types,Exhibition Specific Labels,0.6716009921517938
Types of Types,Depiction of the Object at the Exhibition,0.3679203898325517
Names and Identifiers for a Resource,Identifiers,0.767946368964038
Names and Identifiers for a Resource,Statements about a Resource,0.42974071749667647
Names and Identifiers for a Resource,Parts,0.2710596123476785
Names and Identifiers for a Resource,Membership,0.2316866847531068
Names and Identifiers for a Resource,Events and Activities,0.12687013378181064
Names and Identifiers for a Resource,Time Span Details,0.13791129144102132
Names and Identifiers for a Resource,Base Production Activity,0.2506153630947287
Names and Identifiers for a Resource,Techniques,0.30213866579450316
Names and Identifiers for a Resource,Classifications,0.2679947564494855
Names and Identifiers for a Resource,Multiple Artists,0.3017089048748348
Names and Identifiers for a Resource,Inspiration or Copies,0.33401439879655387
Names and Identifiers for a Resource,Reproduction from an Identifiable Source,0.2825420200978703
Names and Identifiers for a Resource,Attribution of a Group,0.2555729230377873
Names and Identifiers for a Resource,Uncertain or Changing Attributions,0.27254592370132674
Names and Identifiers for a Resource,Production by Removal,0.0
Names and Identifiers for a Resource,Destruction ,0.2514868018439064
Names and Identifiers for a Resource,Cause of Destruction,0.2506028699180209
Names and Identifiers for a Resource,Other Specific Activities,0.3069328320639873
Names and Identifiers for a Resource,Dimensions,0.32146771990559314
Names and Identifiers for a Resource,Dimension Statement,0.33849837674301314
Names and Identifiers for a Resource,Dimension Display Labels,0.33031308915891516
Names and Identifiers for a Resource,Measurements of Dimensions,0.30281168692809934
Names and Identifiers for a Resource,Colors,0.33999711717993386
Names and Identifiers for a Resource,Shapes,0.3058520050520555
Names and Identifiers for a Resource,Materials,0.3293571025334039
Names and Identifiers for a Resource,Materials Statement,0.27261062711040157
Names and Identifiers for a Resource,Environmental conditions,0.32445012221912856
Names and Identifiers for a Resource,Parts,0.31179643756539654
Names and Identifiers for a Resource,Sides of an Object,0.3566110606854142
Names and Identifiers for a Resource,Description,0.29302212367388525
Names and Identifiers for a Resource,Depiction,0.0
Names and Identifiers for a Resource,Subject,0.3490678314425453
Names and Identifiers for a Resource,Style Classification,0.3372226092855203
Names and Identifiers for a Resource,Other Classifications,0.2752311551051033
Names and Identifiers for a Resource,Objects Carrying Textual Works,0.2518009515604158
Names and Identifiers for a Resource,"Single Object, Multiple Works",0.16257305209491407
Names and Identifiers for a Resource,"Single Object, Single Textual and Visual Work",0.3684275862827295
Names and Identifiers for a Resource,Related Objects,0.3698752021760938
Names and Identifiers for a Resource,Ownership,0.34312350835945055
Names and Identifiers for a Resource,Custody,0.3482472629056112
Names and Identifiers for a Resource,Location,0.34603243733735717
Names and Identifiers for a Resource,Credit / Attribution Statement,0.3209043292768453
Names and Identifiers for a Resource,Rights Statement,0.32481336153805324
Names and Identifiers for a Resource,RightsStatements.org Assertions,0.0
Names and Identifiers for a Resource,Digital Objects,0.15795662939895114
Names and Identifiers for a Resource,Digital Images,0.2810432281459136
Names and Identifiers for a Resource,Digital Surrogates,0.299960127014154
Names and Identifiers for a Resource,Home Page,0.2872696301047858
Names and Identifiers for a Resource,Other Pages,0.24052485137300766
Names and Identifiers for a Resource,IIIF Images,0.2183079675908657
