id,slug,recipe,topic,viewer,support,property
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,t
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,a
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,t
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,t
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,t
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,m
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,e
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,n
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,n
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,n
6,0006-text-language,Internationalization and Multi-language Values,basic,UV,Yes,t
6,0006-text-language,Internationalization and Multi-language Values,basic,Mirador,Yes,t
6,0006-text-language,Internationalization and Multi-language Values,basic,Annona,Yes,t
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,l
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes,l
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes,l
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes,l
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,a
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes,a
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes,a
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes,a
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,b
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes,b
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes,b
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes,b
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,e
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes,e
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes,e
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes,e
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,l
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes,l
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes,l
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes,l
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,","
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes,","
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes,","
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes,","
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes, 
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes, 
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes, 
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes, 
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,s
7,0007-string-formats,Embedding HTML in descriptive properties,property,Mirador,Yes,s
7,0007-string-formats,Embedding HTML in descriptive properties,property,Annona,Yes,s
7,0007-string-formats,Embedding HTML in descriptive properties,property,Clover,Yes,s
7,0007-string-formats,Embedding HTML in descriptive properties,property,UV,Yes,u
