id,slug,url,json,recipe,topic,viewer,support,property
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-rtl.json,Viewing direction and Its Effect on Navigation,image,Mirador,Yes,viewingDirection
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-ttb.json,Viewing direction and Its Effect on Navigation,image,Mirador,Yes,viewingDirection
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-rtl.json,Viewing direction and Its Effect on Navigation,image,Annona,Yes,viewingDirection
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-ttb.json,Viewing direction and Its Effect on Navigation,image,Annona,Yes,viewingDirection
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-rtl.json,Viewing direction and Its Effect on Navigation,property,UV,Yes,viewingDirection
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-ttb.json,Viewing direction and Its Effect on Navigation,property,UV,Yes,viewingDirection
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-rtl.json,Viewing direction and Its Effect on Navigation,property,Mirador,Yes,viewingDirection
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-ttb.json,Viewing direction and Its Effect on Navigation,property,Mirador,Yes,viewingDirection
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-rtl.json,Viewing direction and Its Effect on Navigation,property,Annona,Yes,viewingDirection
10,0010-book-2-viewing-direction,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/,https://iiif.io/api/cookbook/recipe/0010-book-2-viewing-direction/manifest-ttb.json,Viewing direction and Its Effect on Navigation,property,Annona,Yes,viewingDirection
