Recipe A,Recipe B,Similarity Score
Simplest Manifest - Video,Linking to Web Page of an Object,0.2193320696220927
Simplest Manifest - Video,Linking to Structured Metadata,0.2341657469416977
Simplest Manifest - Video,Table of Contents for Multiple A/V Files on a Single Canvas,0.26977744969149425
Simplest Manifest - Video,Table of Contents for Multiple A/V Files on Multiple Canvases,0.2523244668375092
Simplest Manifest - Video,Basic Newspaper,0.1581927286396575
Simplest Manifest - Video,Using Caption and Subtitle Files in Multiple Languages with Video Content,0.21733237650447101
Simplest Manifest - Video,Image Thumbnail for Manifest,0.18564512118236998
Simplest Manifest - Video,Displaying Multiple Values with Language Maps,0.1728327717552106
Simplest Manifest - Video,Represent Canvas Fragment as a Geographic Area in a Web Mapping Client,0.17731686660148804
Simplest Manifest - Video,Locate a Manifest on a Web Map,0.1870065840366751
Simplest Manifest - Video,Load Manifest Beginning with a Specific Canvas,0.24339290311441844
Simplest Manifest - Video,Using Caption and Subtitle Files with Video Content,0.3249284126405851
Simplest Manifest - Video,Navigation by Chronology,0.10344842604004177
Simplest Manifest - Video,Acknowledge Content Contributors,0.15680012385430478
Simplest Manifest - Video,Locate Multiple Canvases on a Web Map,0.17818067739342366
Simplest Manifest - Video,Annotation with a Non-Rectangular Polygon (Updated),0.12072324098115315
Simplest Manifest - Video,Simplest Annotation,0.2672554692543317
Simplest Manifest - Video,Embedded or referenced Annotations,0.1517079247798536
Simplest Manifest - Video,Missing Images in a Sequence,0.20980037574139906
Simplest Manifest - Video,Addressing a Spatial Region,0.2102845440478907
Simplest Manifest - Video,Image in Annotations,0.23638739116613042
Image and Canvas with Differing Dimensions,Simplest Manifest - Single Image File,0.3175514683274945
Image and Canvas with Differing Dimensions,Simplest Manifest - Audio,0.20231098142966747
Image and Canvas with Differing Dimensions,Simplest Manifest - Video,0.28059158124826206
Image and Canvas with Differing Dimensions,Support Deep Viewing with Basic Use of a IIIF Image Service,0.3521207011095796
Image and Canvas with Differing Dimensions,Internationalization and Multi-language Values,0.19074845533943488
Image and Canvas with Differing Dimensions,Embedding HTML in descriptive properties,0.2220928980199616
Image and Canvas with Differing Dimensions,Rights statement,0.22849372013461786
Image and Canvas with Differing Dimensions,Simple Manifest - Book,0.2990386686451294
Image and Canvas with Differing Dimensions,Viewing direction and Its Effect on Navigation,0.23180508822448403
Image and Canvas with Differing Dimensions,"Book 'behavior' Variations (continuous, individuals)",0.2507290791817567
Image and Canvas with Differing Dimensions,Load a Preview Image Before the Main Content,0.3039922352832752
Image and Canvas with Differing Dimensions,Audio Presentation with Accompanying Image,0.24710556301900588
Image and Canvas with Differing Dimensions,Begin playback at a specific point - Time-based media,0.1929139046063792
Image and Canvas with Differing Dimensions,Providing Access to Transcript Files of A/V Content,0.23951086421787973
Image and Canvas with Differing Dimensions,HTML in Annotations,0.2340630318958559
Image and Canvas with Differing Dimensions,Simple Annotation — Tagging,0.2769257107957747
Image and Canvas with Differing Dimensions,Table of Contents for Book Chapters,0.2527228717471382
Image and Canvas with Differing Dimensions,Table of Contents for A/V Content,0.2583556806690879
Image and Canvas with Differing Dimensions,Metadata on any Resource,0.19722515654390574
Image and Canvas with Differing Dimensions,Multi-volume Work with Individually-bound Volumes,0.1410858629811608
Image and Canvas with Differing Dimensions,Multiple Volumes in a Single Bound Volume,0.2265729188882273
Image and Canvas with Differing Dimensions,Simple Collection,0.1869257702198074
Image and Canvas with Differing Dimensions,Providing Alternative Representations,0.28780332296927374
Image and Canvas with Differing Dimensions,Linking to Web Page of an Object,0.2615189526014321
Image and Canvas with Differing Dimensions,Linking to Structured Metadata,0.29088329399326446
Image and Canvas with Differing Dimensions,Table of Contents for Multiple A/V Files on a Single Canvas,0.3078954296738842
Image and Canvas with Differing Dimensions,Table of Contents for Multiple A/V Files on Multiple Canvases,0.2871195571321691
Image and Canvas with Differing Dimensions,Basic Newspaper,0.18807937913896672
Image and Canvas with Differing Dimensions,Using Caption and Subtitle Files in Multiple Languages with Video Content,0.189705431371315
Image and Canvas with Differing Dimensions,Image Thumbnail for Manifest,0.27506252213102306
Image and Canvas with Differing Dimensions,Displaying Multiple Values with Language Maps,0.20410128864376814
Image and Canvas with Differing Dimensions,Represent Canvas Fragment as a Geographic Area in a Web Mapping Client,0.214362753099237
Image and Canvas with Differing Dimensions,Locate a Manifest on a Web Map,0.21559302332235578
Image and Canvas with Differing Dimensions,Load Manifest Beginning with a Specific Canvas,0.3084149288225211
Image and Canvas with Differing Dimensions,Using Caption and Subtitle Files with Video Content,0.21444785879153688
Image and Canvas with Differing Dimensions,Navigation by Chronology,0.1251091148433255
Image and Canvas with Differing Dimensions,Acknowledge Content Contributors,0.19246566620061914
Image and Canvas with Differing Dimensions,Locate Multiple Canvases on a Web Map,0.2067752515624809
Image and Canvas with Differing Dimensions,Annotation with a Non-Rectangular Polygon (Updated),0.1501682803842481
Image and Canvas with Differing Dimensions,Simplest Annotation,0.32646467786246663
Image and Canvas with Differing Dimensions,Embedded or referenced Annotations,0.17089273540015637
Image and Canvas with Differing Dimensions,Missing Images in a Sequence,0.2815411915773598
Image and Canvas with Differing Dimensions,Addressing a Spatial Region,0.2623479974381843
Image and Canvas with Differing Dimensions,Image in Annotations,0.3062024497629808
Support Deep Viewing with Basic Use of a IIIF Image Service,Simplest Manifest - Single Image File,0.42932658433294263
Support Deep Viewing with Basic Use of a IIIF Image Service,Simplest Manifest - Audio,0.22282093401528552
Support Deep Viewing with Basic Use of a IIIF Image Service,Simplest Manifest - Video,0.25394501650374324
Support Deep Viewing with Basic Use of a IIIF Image Service,Image and Canvas with Differing Dimensions,0.3521207011095796
Support Deep Viewing with Basic Use of a IIIF Image Service,Internationalization and Multi-language Values,0.27216367187480606
Support Deep Viewing with Basic Use of a IIIF Image Service,Embedding HTML in descriptive properties,0.3801381918278056
Support Deep Viewing with Basic Use of a IIIF Image Service,Rights statement,0.39074674918577923
Support Deep Viewing with Basic Use of a IIIF Image Service,Simple Manifest - Book,0.4342524786477221
Support Deep Viewing with Basic Use of a IIIF Image Service,Viewing direction and Its Effect on Navigation,0.3368950464895267
Support Deep Viewing with Basic Use of a IIIF Image Service,"Book 'behavior' Variations (continuous, individuals)",0.36566822334457677
Support Deep Viewing with Basic Use of a IIIF Image Service,Load a Preview Image Before the Main Content,0.244399541054914
Support Deep Viewing with Basic Use of a IIIF Image Service,Audio Presentation with Accompanying Image,0.3069069269918883
Support Deep Viewing with Basic Use of a IIIF Image Service,Begin playback at a specific point - Time-based media,0.20542530656591113
Support Deep Viewing with Basic Use of a IIIF Image Service,Providing Access to Transcript Files of A/V Content,0.225263202880087
Support Deep Viewing with Basic Use of a IIIF Image Service,HTML in Annotations,0.3574301471594631
Support Deep Viewing with Basic Use of a IIIF Image Service,Simple Annotation — Tagging,0.4415033272865693
Support Deep Viewing with Basic Use of a IIIF Image Service,Table of Contents for Book Chapters,0.3486233766564283
Support Deep Viewing with Basic Use of a IIIF Image Service,Table of Contents for A/V Content,0.23017292032513634
Support Deep Viewing with Basic Use of a IIIF Image Service,Metadata on any Resource,0.2817246303715064
Support Deep Viewing with Basic Use of a IIIF Image Service,Multi-volume Work with Individually-bound Volumes,0.17508759162927884
Support Deep Viewing with Basic Use of a IIIF Image Service,Multiple Volumes in a Single Bound Volume,0.3125017590760844
Support Deep Viewing with Basic Use of a IIIF Image Service,Simple Collection,0.2399302979478753
Support Deep Viewing with Basic Use of a IIIF Image Service,Providing Alternative Representations,0.4149837876507735
Support Deep Viewing with Basic Use of a IIIF Image Service,Linking to Web Page of an Object,0.350603764807691
Support Deep Viewing with Basic Use of a IIIF Image Service,Linking to Structured Metadata,0.41970709767413344
Support Deep Viewing with Basic Use of a IIIF Image Service,Table of Contents for Multiple A/V Files on a Single Canvas,0.24589374802826028
Support Deep Viewing with Basic Use of a IIIF Image Service,Table of Contents for Multiple A/V Files on Multiple Canvases,0.23346220572386797
Support Deep Viewing with Basic Use of a IIIF Image Service,Basic Newspaper,0.2147464631526082
Support Deep Viewing with Basic Use of a IIIF Image Service,Using Caption and Subtitle Files in Multiple Languages with Video Content,0.21487653739247425
Support Deep Viewing with Basic Use of a IIIF Image Service,Image Thumbnail for Manifest,0.406570242583244
Support Deep Viewing with Basic Use of a IIIF Image Service,Displaying Multiple Values with Language Maps,0.24650181621183356
Support Deep Viewing with Basic Use of a IIIF Image Service,Represent Canvas Fragment as a Geographic Area in a Web Mapping Client,0.26306497224200825
Support Deep Viewing with Basic Use of a IIIF Image Service,Locate a Manifest on a Web Map,0.29778095340273275
Support Deep Viewing with Basic Use of a IIIF Image Service,Load Manifest Beginning with a Specific Canvas,0.41615045889622715
Support Deep Viewing with Basic Use of a IIIF Image Service,Using Caption and Subtitle Files with Video Content,0.21638000709494715
Support Deep Viewing with Basic Use of a IIIF Image Service,Navigation by Chronology,0.1894550053364381
Support Deep Viewing with Basic Use of a IIIF Image Service,Acknowledge Content Contributors,0.27625505793097416
Support Deep Viewing with Basic Use of a IIIF Image Service,Locate Multiple Canvases on a Web Map,0.28869912182316415
Support Deep Viewing with Basic Use of a IIIF Image Service,Annotation with a Non-Rectangular Polygon (Updated),0.23832278869550325
Support Deep Viewing with Basic Use of a IIIF Image Service,Simplest Annotation,0.47775293806070523
Support Deep Viewing with Basic Use of a IIIF Image Service,Embedded or referenced Annotations,0.19785138380815018
Support Deep Viewing with Basic Use of a IIIF Image Service,Missing Images in a Sequence,0.4299960414394536
Support Deep Viewing with Basic Use of a IIIF Image Service,Addressing a Spatial Region,0.3605497147161198
Support Deep Viewing with Basic Use of a IIIF Image Service,Image in Annotations,0.5416399649770374
Internationalization and Multi-language Values,Simplest Manifest - Single Image File,0.21247587992787925
Internationalization and Multi-language Values,Simplest Manifest - Audio,0.1307717661022385
Internationalization and Multi-language Values,Simplest Manifest - Video,0.14915864327505518
Internationalization and Multi-language Values,Image and Canvas with Differing Dimensions,0.19074845533943488
Internationalization and Multi-language Values,Support Deep Viewing with Basic Use of a IIIF Image Service,0.27216367187480606
Internationalization and Multi-language Values,Embedding HTML in descriptive properties,0.20199687668596314
Internationalization and Multi-language Values,Rights statement,0.1983373415197861
Internationalization and Multi-language Values,Simple Manifest - Book,0.22858266280968212
Internationalization and Multi-language Values,Viewing direction and Its Effect on Navigation,0.17946354289182917
Internationalization and Multi-language Values,"Book 'behavior' Variations (continuous, individuals)",0.19177238372612285
Internationalization and Multi-language Values,Load a Preview Image Before the Main Content,0.13804636770831602
Internationalization and Multi-language Values,Audio Presentation with Accompanying Image,0.17581096488424244
Internationalization and Multi-language Values,Begin playback at a specific point - Time-based media,0.1360858561335215
Internationalization and Multi-language Values,Providing Access to Transcript Files of A/V Content,0.14820416735496766
Internationalization and Multi-language Values,HTML in Annotations,0.20022689575197575
Internationalization and Multi-language Values,Simple Annotation — Tagging,0.2273766606707545
Internationalization and Multi-language Values,Table of Contents for Book Chapters,0.18867493972371205
Internationalization and Multi-language Values,Table of Contents for A/V Content,0.1372783200803007
Internationalization and Multi-language Values,Metadata on any Resource,0.19928384096125074
Internationalization and Multi-language Values,Multi-volume Work with Individually-bound Volumes,0.10528995918998996
Internationalization and Multi-language Values,Multiple Volumes in a Single Bound Volume,0.17253940117120897
Internationalization and Multi-language Values,Simple Collection,0.15444615678555723
Internationalization and Multi-language Values,Providing Alternative Representations,0.2251714488933777
Internationalization and Multi-language Values,Linking to Web Page of an Object,0.234943580008198
Internationalization and Multi-language Values,Linking to Structured Metadata,0.22912433176572256
Internationalization and Multi-language Values,Table of Contents for Multiple A/V Files on a Single Canvas,0.14909183230787978
Internationalization and Multi-language Values,Table of Contents for Multiple A/V Files on Multiple Canvases,0.14407434685086004
Internationalization and Multi-language Values,Basic Newspaper,0.18311971840807245
Internationalization and Multi-language Values,Using Caption and Subtitle Files in Multiple Languages with Video Content,0.20834226188436852
Internationalization and Multi-language Values,Image Thumbnail for Manifest,0.20579243401314412
Internationalization and Multi-language Values,Displaying Multiple Values with Language Maps,0.4769555561155623
Internationalization and Multi-language Values,Represent Canvas Fragment as a Geographic Area in a Web Mapping Client,0.15366360988792077
Internationalization and Multi-language Values,Locate a Manifest on a Web Map,0.16644965053500393
Internationalization and Multi-language Values,Load Manifest Beginning with a Specific Canvas,0.21829352100925434
Internationalization and Multi-language Values,Using Caption and Subtitle Files with Video Content,0.14468781456964663
Internationalization and Multi-language Values,Navigation by Chronology,0.11263588966781322
Internationalization and Multi-language Values,Acknowledge Content Contributors,0.17466351080215287
Internationalization and Multi-language Values,Locate Multiple Canvases on a Web Map,0.16235899235069282
Internationalization and Multi-language Values,Annotation with a Non-Rectangular Polygon (Updated),0.1247065147950598
Internationalization and Multi-language Values,Simplest Annotation,0.24583128338861202
Internationalization and Multi-language Values,Embedded or referenced Annotations,0.16111983972961338
Internationalization and Multi-language Values,Missing Images in a Sequence,0.2185576702843173
Internationalization and Multi-language Values,Addressing a Spatial Region,0.1947570143617638
Internationalization and Multi-language Values,Image in Annotations,0.24986035999648645
Embedding HTML in descriptive properties,Simplest Manifest - Single Image File,0.24419621885408768
Embedding HTML in descriptive properties,Simplest Manifest - Audio,0.15140885847705604
Embedding HTML in descriptive properties,Simplest Manifest - Video,0.17223907761499072
Embedding HTML in descriptive properties,Image and Canvas with Differing Dimensions,0.2220928980199616
Embedding HTML in descriptive properties,Support Deep Viewing with Basic Use of a IIIF Image Service,0.3801381918278056
Embedding HTML in descriptive properties,Internationalization and Multi-language Values,0.20199687668596314
Embedding HTML in descriptive properties,Rights statement,0.6723175254546202
Embedding HTML in descriptive properties,Simple Manifest - Book,0.2597637442262045
Embedding HTML in descriptive properties,Viewing direction and Its Effect on Navigation,0.20189166869001138
